dox	time	image	cell	c_area	n_area	Fli1	Cdh5	Flk1	Etv2	Pdgfra	Snail1	FP	n_Fli1	n_Cdh5	n_Flk1	n_Etv2	n_Pdgfra	n_Snail1	n_FP	p_Etv2
102	100	6	3	17	8704	8223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031162471117597
103	100	6	3	18	8213	1864	0.000730549129428954	0.000365274564714477	0.00328747108243029	0	0	0	0	0	0	0	0	0	0	0	0.0470269313304721
104	100	6	3	19	38098	17674	0.000157488582077799	0.000104992388051866	0.00173237440285579	0.012520342275185	0.000236232873116699	0.000577458134285264	0.000104992388051866	0	0	0	1	0	0	0	0.0536369242955754
105	100	6	3	20	19099	6949	0	5.23587622388607e-05	0	5.23587622388607e-05	0	0.000942457720299492	0	0	0	0	0	0	0	0	0.0477080155418046
106	100	6	3	21	28462	14109	7.02691307708524e-05	0.000210807392312557	0.00175672826927131	0.000527018480781393	0.00129997891926077	0.00172159370388588	0.000140538261541705	0	0	1	0	0	0	0	0.0443025019491105
107	100	6	3	22	25231	10308	3.9633783837343e-05	0	0.000475605406048115	3.9633783837343e-05	0.000118901351512029	0.000990844595933574	0	0	0	0	0	0	0	0	0.039819460613116
108	100	6	3	23	9703	5334	0.00103060908997217	0.000309182726991652	0.00453467999587756	0	0	0	0	0	0	1	0	0	0	0	0.0504698162729659
109	100	6	3	24	9594	3926	0.000625390869293308	0.000312695434646654	0.00333541796956431	0	0	0	0	0	0	0	0	0	0	0	0.0510743759551707
110	100	6	3	25	20616	8146	0.000436554132712456	0.000485060147458285	0.00227978269305394	0.00383197516492045	0	0.000873108265424913	0	0	0	0	0	0	0	0	0.0508686471888043
111	100	6	3	26	32917	9472	0.000516450466324392	0.000334173831151077	0.00154935139897318	0.00719992708934593	3.03794391955524e-05	0.000789865419084364	3.03794391955524e-05	0	0	1	1	0	1	0	0.0571511824324324
112	100	6	3	27	20177	12143	4.95613817713238e-05	9.91227635426476e-05	0.00113991178074045	0.00743420726569857	0.000198245527085295	0.000941666253655152	4.95613817713238e-05	0	0	0	0	0	0	0	0.0452563616898625
113	100	6	3	28	15567	10857	0	0.000128476906276097	0	0	0	0.00250529967238389	0	0	0	0	0	0	0	0	0.0411941604494796
114	100	6	3	29	12897	8540	0	7.75374118011941e-05	0	0	7.75374118011941e-05	0.00108552376521672	0	0	0	0	0	0	0	0	0.0511510538641686
115	100	6	3	30	96	3630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0387815426997245
116	100	6	3	31	17907	8834	0.000167532249958117	0.000279220416596862	0.00156363433294242	0.0111688166638745	5.58440833193723e-05	0.000670128999832468	5.58440833193723e-05	0	0	0	0	0	0	0	0.0730641838351822
117	100	6	3	32	13718	6430	0	0.000218690771249453	0	0.0200466540311999	0	0.000291587694999271	0	0	0	0	1	0	0	0	0.0580727838258165
118	100	6	3	33	9344	4723	0.000107020547945205	0.000107020547945205	0.00149828767123288	0.00139126712328767	0	0.000321061643835616	0	0	0	0	0	0	0	0	0.0457056955325005
119	100	6	3	34	28333	10766	0.000105883598630572	0.000388239861645431	0.000105883598630572	0.0123530865069001	0	0.000317650795891716	0	0	0	0	1	0	0	0	0.053424577373212
120	100	6	3	35	17252	9376	0.000231857175979597	0.000115928587989798	0.00139114305587758	0.0067238581034083	0	0.000347785763969395	0	0	0	0	0	0	0	0	0.0526511305460751
121	100	6	3	36	48459	17001	0	0.000165088012546689	0	8.25440062733445e-05	2.06360015683361e-05	0.000103180007841681	0	0	0	0	0	0	0	0	0.0373377448385389
122	100	6	3	37	26101	8018	0.000268188958277461	3.83127083253515e-05	0.00233707520784644	0.0049806520822957	0.000153250833301406	0.000536377916554921	7.6625416650703e-05	0	0	0	0	0	0	0	0.0437025442753804
123	100	6	3	38	38700	8170	0.000439276485788114	0.000103359173126615	0.00103359173126615	0.00645994832041344	2.58397932816537e-05	0.000594315245478036	2.58397932816537e-05	0	0	1	2	0	0	0	0.0439796817625459
124	100	6	3	39	36636	17592	0	0.000846162244786549	0	0.000272955562834371	2.72955562834371e-05	0.000272955562834371	0	0	0	0	0	0	0	0	0.040425079581628
125	100	6	3	40	18160	7619	0.00159691629955947	0.000275330396475771	0.00143171806167401	0.0116740088105727	0.0013215859030837	0.0019273127753304	0.000330396475770925	0	0	0	1	0	0	0	0.098595878724242
126	100	6	3	41	39147	13224	0	0.000102178966459754	0	7.66342248448157e-05	0	0.00017881319130457	0	0	0	0	0	0	0	0	0.0393909558378705
127	100	6	3	42	58441	11487	0	0.000171112746188464	0	0.00848719221094779	1.71112746188464e-05	0.000290891668520388	5.13338238565391e-05	0	0	0	1	0	0	0	0.0543912248628885
128	500	6	4	1	52173	19645	1.91670020892032e-05	1.91670020892032e-05	0.000345006037605658	0.00885515496521189	0	7.66680083568129e-05	0	0	0	0	2	0	0	0	0.0435820819546959
129	500	6	4	2	78015	24420	0	0.000128180478113183	1.28180478113183e-05	0.00665256681407422	0	0.000115362430301865	0	0	0	0	1	0	0	0	0.0433931203931204
130	500	6	4	3	12325	7219	0	0.000405679513184584	0	8.11359026369168e-05	0	0.00259634888438134	0	0	0	0	0	1	0	0	0.0566725308214434
131	500	6	4	4	14954	7157	0.00140430654005617	0.000334358700013374	0.00254112612010165	0.0156479871606259	6.68717400026749e-05	0.000401230440016049	0.00013374348000535	0	0	0	0	0	0	0	0.060168087187369
132	500	6	4	5	76217	23904	2.62408648989071e-05	0.000104963459595628	0.000551058162877048	0.0146817639109385	0	0.000183686054292349	3.93612973483606e-05	0	0	0	1	0	0	0	0.0507521753681392
133	500	6	4	6	50299	11472	0	0.000159048887651842	3.97622219129605e-05	0.00391657885842661	0	0.000198811109564802	0	0	0	0	0	0	0	0	0.0396127092050209
134	500	6	4	7	74726	13648	0	5.35288922195755e-05	1.33822230548939e-05	0.00670449375050183	0	0.000147204453603833	0	0	0	0	1	0	0	0	0.0411286635404455
135	500	6	4	8	28913	11956	0.000795489918029952	0.000207519109051292	0.00114135509978211	0.0135925016428596	6.91730363504306e-05	0.000345865181752153	0	1	0	0	0	0	0	0	0.0502952492472399
136	500	6	4	9	41590	21993	0	7.21327242125511e-05	0	0.00589083914402501	0	0.000432796345275307	0	0	0	0	1	0	0	0	0.0404881098531351
137	500	6	4	10	10982	10772	0	0	0	0.000910580950646512	0.000182116190129302	0.00254962666181023	0	0	0	0	0	0	0	0	0.0494910880059413
138	500	6	4	11	33029	15580	0.000333040661237095	0.000393593508734748	0.000968845559962457	0.00805352871718793	3.02764237488268e-05	0.000121105694995307	0	0	0	0	1	0	0	0	0.0496168164313222
139	500	6	4	12	19892	11959	0.00100542931831892	5.02714659159461e-05	0.00402171727327569	0.0127689523426503	5.02714659159461e-05	0.00110597225015081	0.000100542931831892	0	0	1	0	0	0	0	0.0630513420854587
140	500	6	4	13	9474	7427	0.000422208148617268	0.000316656111462951	0.000527760185771585	0	0	0	0	0	0	0	0	0	0	0	0.0531473003904672
141	500	6	4	14	10597	5637	0	0.000283098990280268	9.43663300934227e-05	0.000566197980560536	0	0.000471831650467113	0	0	0	0	0	0	0	0	0.0480938442433919
142	500	6	4	15	26901	15738	0.00078064012490242	0.000111520017843203	0.00111520017843203	0.00375450726738783	0.00063194676777815	0.00063194676777815	0.000223040035686406	0	0	0	0	0	0	0	0.0892222645825391
143	500	6	4	16	9616	4929	0.000103993344425957	0	0.000103993344425957	0.000935940099833611	0	0.000831946755407654	0	0	0	0	0	0	0	0	0.0538738080746602
144	500	6	4	17	44741	13890	0.000156456047026218	0.000156456047026218	0.000558771596522206	0.00932031022999039	6.70525915826647e-05	8.94034554435529e-05	0	0	0	0	0	0	0	0	0.0653043196544277
145	500	6	4	18	19379	11115	0	0.000103204499716188	0.000103204499716188	0.000619226998297126	0	0.000825635997729501	0	0	0	0	0	0	0	0	0.0434374269005848
146	500	6	4	19	39999	13130	0.000150003750093752	0.000125003125078127	0.000450011250281257	0.0127253181329533	5.00012500312508e-05	0.000125003125078127	2.50006250156254e-05	0	0	0	1	0	0	0	0.052552551408987
147	500	6	4	20	25604	6445	0.00359318856428683	0	0.000624902359006405	0.0128104983596313	0.000507733166692704	0.000312451179503203	0.000117169192313701	0	0	0	1	0	0	0	0.112066252909232
148	500	6	4	21	7554	7167	0	0.00013238019592269	0	0.00039714058776807	0	0	0	0	0	0	1	0	0	0	0.0469667922422213
149	0	17	5	1	20915	10819	0	4.7812574707148e-05	0.000812813770021516	4.7812574707148e-05	0.00071718862060722	0.00124312694238585	9.5625149414296e-05	0	0	0	0	0	0	0	0.0393871892041778
